"benchmark","version","application","file","line","function"
"livermore","default","livermore","lloops.c","2115","init"
"NPB","2.3-OpenACC-C","UA-SNU","adapt.c","459","do_refine"
"NPB","2.3-OpenACC-C","SP","sp.c","314","exact_rhs"
"cortexsuite","default","pca","pca.c","214","main"
"mediabench","default","h264dec-lencod","image.c","1167","init_frame"
"NPB","2.3-OpenACC-C","BT","bt.c","2779","x_solve_cell"
"cortexsuite","default","srr","SRREngine.c","117","Gauss"
"spec2006","v1.1","400.perlbench","pp_pack.c","2208","S_pack_rec"
"polybench","4.1","linear-algebra-solvers-durbin","durbin.c","31","init_array"
"ALPBench","v1.0","csuFaceIdEval_5.1","csuCommonMatrix.c","110","duplicateMatrix"
"polybench","4.1","stencils-jacobi-1d","jacobi-1d.c","32","init_array"
"libraries","default","lame","takehiro.c","1086","best_scalefac_store"
"libraries","default","daala","pvq_encoder.c","900","od_pvq_encode"
"mediabench","default","h264enc-ldecod","macroblock.c","1866","readMotionInfoFromNAL"
"mediabench","default","mpeg4dec","mpegaudio.c","345","filter"
"GitApps","default","mozjpeg","jccoefct.c","462","compress_trellis_pass"
"NPB","2.3-OpenACC-C","SP","sp.c","1520","compute_rhs"
"spec2006","v1.1","445.gobmk","aftermath.c","142","aftermath_genmove"
"NPB","2.3-OpenACC-C","DC","adc.c","156","ExtendFactors"
"mediabench","default","mpeg4enc","msmpeg4.c","214","init_mv_table"
"GitApps","default","gap","string.c","1848","FuncRemoveCharacters"
"spec2000","v1.3","300.twolf","ucxx2.c","136","ucxx2"
"Kernels","SERIAL","Stencil","stencil.c","204","main"
"Kernels","SERIAL","Branch","branch.c","233","main"
"libraries","default","silk","SKP_Silk_pitch_analysis_core.c","273","SKP_Silk_pitch_analysis_core"
"mediabench","default","mpeg4dec","mpegaudio.c","530","compute_bit_allocation"
"cortexsuite","default","sphinx","dict2pid.c","110","compress_right_context_tree"
"libraries","default","silk","SKP_Silk_schur.c","84","SKP_Silk_schur"
"Kernels","SERIAL","Branch","func.c","20294","func12"
"mediabench","default","h264dec-lencod","lencod.c","1129","report"
"mediabench","default","h264enc-lencod","parset.c","394","GeneratePictureParameterSet"
"Kernels","SERIAL","Branch","func.c","7304","func4"
"spec2006","v1.1","464.h264ref","block.c","906","dct_luma"
"spec2006","v1.1","435.gromacs","nsb.c","63","calc_nsbshift"
"Kernels","SERIAL","Branch","func.c","2434","func1"
"NPB","2.3-OpenACC-C","UA-SNU","mason.c","1715","mor_s_e"
"mediabench","default","gsm","rpe.c","217","RPE_grid_selection"
"cortexsuite","default","sphinx","fe_sigproc.c","502","fe_pre_emphasis"
"scimark2","default","default","FFT.c","160","FFT_inverse"
"spec2000","v1.3","255.vortex","draw7.c","399","Draw7"
"spec2006","v1.1","456.hmmer","plan7.c","154","AllocPlan7Body"
"polybench","4.1","linear-algebra-blas-gemver","gemver.c","112","kernel_gemver"
"mediabench","default","h264enc-ldecod","transform8x8.c","919","LowPassForIntra8x8Pred"
"spec2000","v1.3","186.crafty","init.c","985","InitializePawnMasks"
"libraries","default","libsndfile","dwvw.c","260","dwvw_read_f"
"spec2006","v1.1","458.sjeng","moves.c","1194","f_in_check"
"ALPBench","v1.0","csuFaceIdEval_5.1","csuSubspaceFisher.c","228","fisherTrain"
"spec2000","v1.3","254.gap","integer.c","1451","QuoInt"
"spec2000","v1.3","301.apsi","apsi.c","3881","dpdx"
"mediabench","default","h264enc-lencod","refbuf.c","159","UMVLine4X"
"NPB","2.3-OpenACC-C","CG","cg.c","399","conj_grad"
"cortexsuite","default","clustering-kmeans","kmeans.c","109","k_means"
"spec2000","v1.3","254.gap","system.c","5133","InitSystem"
"spec2006","v1.1","464.h264ref","image.c","1751","find_distortion"
"mediabench","default","h264enc-lencod","lencod.c","1129","report"
"libraries","default","silk","SKP_Silk_NSQ_del_dec.c","651","SKP_Silk_nsq_del_dec_scale_states"
"libraries","default","libdeep","lodepng.c","3924","unfilterScanline"
"NPB","2.3-OpenACC-C","SP","sp.c","1045","lhsy"
"spec2000","v1.3","197.parser","post-process.c","457","contained_in"
"FreeBench","default","pifft","pifft.c","729","mp_mul_radix_test"
"livermore","default","livermore","lloops.c","1640","endloop"
"NPB","2.3-OpenACC-C","SP","sp.c","1919","txinvr"
"mediabench","default","h264enc-lencod","slice.c","675","init_slice"
"libraries","default","daala","dct.c","8776","dynamic_range"
"NPB","2.3-OpenACC-C","FT","ft.c","400","compute_indexmap"
"mediabench","default","h264dec-lencod","mv-search.c","231","ResetFastFullIntegerSearch"
"GitApps","default","gap","string.c","1734","FuncPOSITION_SUBSTRING"
"libraries","default","twolame","psycho_3.c","489","psycho_3_init"
"spec2006","v1.1","429.mcf","treeup.c","146","update_tree"
"spec2006","v1.1","458.sjeng","moves.c","1060","f_in_check"
"mediabench","default","h264dec-lencod","mv-search.c","282","SetupLargerBlocks"
"mediabench","default","mpeg4dec","mpegaudio.c","331","filter"
"spec2006","v1.1","401.bzip2","compress.c","444","sendMTFValues"
"libraries","default","daala","dct.c","8475","compute_itrue_basis"
"polybench","4.1","stencils-fdtd-2d","fdtd-2d.c","36","init_array"
"mediabench","default","h263enc","pred.c","1344","ReconChromBlock_P"
"spec2006","v1.1","464.h264ref","refbuf.c","72","UMVLine16Y_11"
"libraries","default","daala","dct.c","8646","od_bin_fxform_2d"
"Kernels","SERIAL","Branch","func.c","8928","func5"
"NPB","2.3-OpenACC-C","UA-SNU","diffuse.c","142","diffusion"
"TSVC","default","default","tsc.c","3105","s2711"
"spec2006","v1.1","400.perlbench","doio.c","1626","Perl_do_exec3"
"NPB","2.3-OpenACC-C","UA-SNU","diffuse.c","201","laplacian"
"libraries","default","silk","SKP_Silk_pitch_analysis_core.c","165","SKP_Silk_pitch_analysis_core"
"GitApps","default","gap","sysfiles.c","472","FuncCrcString"
"spec2006","v1.1","435.gromacs","clincs.c","177","clincs"
"mediabench","default","h264dec-lencod","rdopt.c","3530","assign_enc_picture_params"
"mediabench","default","h264dec-ldecod","macroblock.c","423","init_macroblock"
"libraries","default","twolame","fft.c","631","fht"
"NPB","2.3-OpenACC-C","SP","sp.c","999","lhsy"
"spec2006","v1.1","400.perlbench","dump.c","1279","Perl_do_sv_dump"
"mediabench","default","h264dec-lencod","mv-search.c","256","SetupLargerBlocks"
"libraries","default","silk","SKP_Silk_pitch_analysis_core.c","152","SKP_Silk_pitch_analysis_core"
"GitApps","default","gap","opers.c","757","FuncAND_FLAGS"
"polybench","4.1","linear-algebra-solvers-ludcmp","ludcmp.c","35","init_array"
"cortexsuite","default","sphinx","ckd_alloc.c","233","ckd_calloc_2d"
"polybench","4.1","stencils-jacobi-2d","jacobi-2d.c","73","kernel_jacobi_2d"
"livermore","default","livermore","lloops.c","1145","kernels"
"mediabench","default","rasta","fft.c","321","FORD1"
"spec2000","v1.3","301.apsi","apsi.c","4108","dftdy"
"spec2000","v1.3","186.crafty","quiesce.c","105","Quiesce"
"GitApps","default","gap","trans.c","1780","FuncINDEX_PERIOD_TRANS"
"Kernels","SERIAL","Branch","func.c","9740","func25"
"mediabench","default","mpeg4enc","ac3enc.c","900","AC3_encode_init"
"mediabench","default","h264enc-lencod","macroblock.c","2256","writeIntra4x4Modes"
"libraries","default","libdeep","deeplearn.c","154","deeplearn_init"
"mediabench","default","h264enc-lencod","mbuffer.c","3743","compute_colocated"
"spec2000","v1.3","186.crafty","validate.c","37","ValidatePosition"
"TSVC","default","default","tsc.c","3539","s314"
"NPB","2.3-OpenACC-C","UA-SNU","utils.c","108","copy"
"mediabench","default","mpeg4dec","dsputil.c","3784","dsputil_static_init"
"TSVC","default","default","tsc.c","2836","s275"
"spec2000","v1.3","301.apsi","apsi.c","5298","trid"
"mediabench","default","mpeg4dec","dsputil.c","364","w_c"
"mediabench","default","rasta","noise_est.c","372","comp_noisepower"
"mediabench","default","mpeg4enc","parser.c","124","av_parser_parse"
"mediabench","default","mpeg4dec","imgresample.c","118","v_resample"
"mediabench","default","rasta","anal.c","183","fill_frame"
"spec2000","v1.3","254.gap","finfield.c","537","RootFiniteField"
"spec2006","v1.1","456.hmmer","histogram.c","697","ExtremeValueSetHistogram"
"GitApps","default","mozjpeg","jcdctmgr.c","419","preprocess_deringing"
"NPB","2.3-OpenACC-C","LU","lu.c","2904","setiv"
"spec2006","v1.1","482.sphinx3","new_fe.c","222","fe_process_utt"
"mediabench","default","mpeg4enc","ac3enc.c","914","AC3_encode_init"
"FreeBench","default","pifft","fftsg.c","878","bitrv2"
"libraries","default","daala","pvq_encoder.c","469","pvq_theta"
"spec2006","v1.1","445.gobmk","worm.c","1298","ping_cave"
"polybench","4.1","linear-algebra-blas-syrk","syrk.c","36","init_array"
"mediabench","default","h264dec-lencod","transform8x8.c","1349","LowPassForIntra8x8Pred"
"libraries","default","libpng","pngrtran.c","2573","png_do_read_invert_alpha"
"libraries","default","silk","SKP_Silk_PLC.c","290","SKP_Silk_PLC_conceal"
"spec2006","v1.1","445.gobmk","owl.c","5121","list_goal_worms"
"spec2006","v1.1","445.gobmk","persistent.c","472","store_persistent_reading_cache"
"polybench","4.1","linear-algebra-kernels-3mm","3mm.c","93","kernel_3mm"
"spec2000","v1.3","255.vortex","tree00.c","796","Tree_PromoteInternalNode"
"polybench","4.1","stencils-jacobi-2d","jacobi-2d.c","32","init_array"
"ALPBench","v1.0","MPGenc","mpeg2enc.c","602","readquantmat"
"spec2006","v1.1","464.h264ref","block.c","1712","dct_chroma"
"spec2006","v1.1","445.gobmk","move_reasons.c","366","remove_lunch"
"spec2006","v1.1","445.gobmk","board.c","434","test_gray_border"
"cortexsuite","default","motion-estimation","FullSearch.c","38","Taylor_App"
"NPB","2.3-OpenACC-C","SP","sp.c","2967","z_solve"
"libraries","default","silk","SKP_Silk_decode_parameters.c","128","SKP_Silk_decode_parameters"
"mediabench","default","h264dec-ldecod","mbuffer.c","3709","compute_colocated"
"spec2000","v1.3","254.gap","vecffe.c","1669","DiffVecFFEVecFFE"
"livermore","default","livermore","lloops.c","570","main"
"machinelearning","default","darknet","blas.c","118","normalize_cpu"
"mediabench","default","h264dec-lencod","refbuf.c","63","UMVLine16Y_11"
"spec2000","v1.3","253.perlbmk","gv.c","288","Perl_gv_fetchmethod_autoload"
"mediabench","default","mpeg4enc","mpegaudiodec.c","453","decode_init"
"NPB","2.3-OpenACC-C","BT","bt.c","2012","compute_rhs"
"mediabench","default","mpeg4enc","jfdctint.c","164","row_fdct"
"spec2000","v1.3","254.gap","idents.c","183","FindIdent"
"polybench","4.1","linear-algebra-solvers-cholesky","cholesky.c","90","kernel_cholesky"
"spec2006","v1.1","400.perlbench","regcomp.c","4219","S_regclass"
"mediabench","default","h263enc","dct.c","310","idctref"
"NPB","2.3-OpenACC-C","UA-SNU","mason.c","1755","mor_s_e_nn"
"spec2000","v1.3","301.apsi","apsi.c","303","MAIN"
"cortexsuite","default","lda","lda-inference.c","41","lda_inference"
"cortexsuite","default","motion-estimation","App.c","166","main"
"polybench","4.1","linear-algebra-solvers-gramschmidt","gramschmidt.c","38","init_array"
"libraries","default","lame","fft.c","303","init_fft"
"spec2000","v1.3","300.twolf","findcost.c","249","findcost"
"mediabench","default","h264dec-lencod","mv-search.c","257","SetupLargerBlocks"
"netlib","default","cg","cg_rc_prb.c","179","test01"
"mediabench","default","mpeg4dec","ac3enc.c","191","ac3_parametric_bit_allocation"
"spec2006","v1.1","400.perlbench","doio.c","446","Perl_do_openn"
"NPB","2.3-OpenACC-C","SP","sp.c","1968","tzetar"
"FreeBench","default","fourinarow","fourinarow.c","296","find_winner_c"
"mediabench","default","h264dec-lencod","rdopt.c","2117","RDCost_for_macroblocks"
"mediabench","default","h264enc-lencod","mv-search.c","268","SetupLargerBlocks"
"libraries","default","silk","SKP_Silk_inner_prod_aligned.c","51","SKP_Silk_inner_prod_aligned"
"NPB","2.3-OpenACC-C","LU","lu.c","2438","rhs"
"livermore","default","livermore","lloops.c","1751","endloop"
"polybench","4.1","linear-algebra-kernels-2mm","2mm.c","96","kernel_2mm"
"NPB","2.3-OpenACC-C","BT","bt.c","1907","compute_rhs"
"NPB","2.3-OpenACC-C","UA-SNU","transfer.c","166","transf"
"cortexsuite","default","sphinx","vector.c","101","vector_sum_norm"
"mediabench","default","mpeg4enc","mpegaudiodec.c","829","ff_mpa_synth_init"
"Kernels","SERIAL","Branch","func.c","25982","func35"
"Kernels","SERIAL","Branch","func.c","21920","func13"
"GitApps","default","gap","permutat.c","1107","LQuoPerm22"
"mediabench","default","mpeg2enc","quantize.c","100","quant_non_intra"
"NPB","2.3-OpenACC-C","IS","is.c","354","rank"
"mediabench","default","h264dec-ldecod","image.c","551","get_block"
"mediabench","default","h264dec-lencod","memalloc.c","195","get_mem2Dint"
"libraries","default","libsndfile","ima_adpcm.c","929","ima_write_i"
"spec2006","v1.1","400.perlbench","util.c","282","Perl_instr"
"TSVC","default","default","tsc.c","4949","s4116"
"spec2006","v1.1","401.bzip2","huffman.c","119","BZ2_hbMakeCodeLengths"
"mediabench","default","mpeg4dec","mpegaudio.c","96","MPA_encode_init"
"spec2006","v1.1","445.gobmk","owl.c","3481","owl_update_goal"
"GitApps","default","gap","string.c","822","EqString"
"spec2006","v1.1","401.bzip2","huffman.c","230","BZ2_hbCreateDecodeTables"
"GitApps","default","gap","finfield.c","1019","SumFFEInt"
"spec2006","v1.1","435.gromacs","constr.c","690","cconerr"
"libraries","default","libpng","pngrtran.c","2201","png_do_unpack"
"libraries","default","libsndfile","alac.c","542","alac_read_f"
"netlib","default","cg","cg_rc.c","352","r8vec_uniform_01_new"
"GitApps","default","gap","vecffe.c","451","DiffVecFFEVecFFE"
"libraries","default","libpng","pngrtran.c","4433","png_do_expand"
"machinelearning","default","darknet","utils.c","53","del_arg"
"livermore","default","livermore","lloops.c","1031","kernels"
"spec2006","v1.1","445.gobmk","surround.c","179","compute_surroundings"
"libraries","default","daala","dct.c","8685","dynamic_range"
"Kernels","SERIAL","Branch","func.c","24356","func34"
"cortexsuite","default","srr","SRREngine.c","21","MatMul"
"libraries","default","flac","lpc.c","952","FLAC_lpc_restore_signal"
"mediabench","default","mpeg2dec","recon.c","365","form_component_prediction"
"libraries","default","libdeep","lodepng.c","5088","filterScanline"
"libraries","default","silk","SKP_Silk_noise_shape_analysis_FIX.c","116","limit_warped_coefs"
"spec2006","v1.1","482.sphinx3","cont_mgau.c","151","mgau_file_read"
"mediabench","default","h264dec-lencod","mv-search.c","270","SetupLargerBlocks"
"mediabench","default","mpeg4dec","mpegaudiodec.c","372","decode_init"
"FreeBench","default","pcompress2","uncompress.c","126","do_debwe"
"mediabench","default","mpeg4dec","mjpeg.c","524","escape_FF"
"NPB","2.3-OpenACC-C","LU","lu.c","1139","error"
"mediabench","default","h264dec-lencod","image.c","1511","UnifiedOneForthPix"
"mediabench","default","h264dec-lencod","mbuffer.c","3743","compute_colocated"
"mediabench","default","h264dec-lencod","leaky_bucket.c","235","calc_buffer"
"cortexsuite","default","sphinx","ms_gauden.c","247","gauden_param_read"
"GitApps","default","gap","vecgf2.c","3955","ShiftLeftGF2Vec"
"TSVC","default","default","tsc.c","1713","s172"
"GitApps","default","gap","permutat.c","900","QuoPerm22"
"GitApps","default","gap","permutat.c","620","ProdPerm22"
"cortexsuite","default","sphinx","s2_semi_mgau.c","140","eval_cb"
"spec2000","v1.3","183.equake","quake.c","629","element_matrices"
"mediabench","default","h264dec-lencod","mv-search.c","275","SetupLargerBlocks"
"spec2000","v1.3","255.vortex","tree00.c","780","Tree_PromoteInternalNode"
"spec2006","v1.1","433.milc","quark_stuff.c","456","load_longlinks"
"spec2006","v1.1","464.h264ref","mv-search.c","262","SetupLargerBlocks"
"spec2000","v1.3","175.vpr","read_arch.c","419","countpass"
"NPB","2.3-OpenACC-C","SP","sp.c","241","error_norm"
"NPB","2.3-OpenACC-C","UA-SNU","adapt.c","438","do_refine"
"TSVC","default","default","tsc.c","1243","s123"
"libraries","default","daala","dct.c","8557","check_bias"
"mediabench","default","mpeg2enc","motion.c","1596","bdist2"
"spec2006","v1.1","464.h264ref","block.c","492","intrapred_luma_16x16"
"spec2006","v1.1","445.gobmk","influence.c","1644","store_delta_territory_cache"
"ALPBench","v1.0","csuFaceIdEval_5.1","csuCommonImage.c","1024","histEqualMask"
"mediabench","default","h264dec-ldecod","block.c","674","intrapred_chroma"
"TSVC","default","default","tsc.c","2997","s279"
"libraries","default","daala","dering.c","295","od_dering"
"mediabench","default","h264dec-lencod","mv-search.c","751","Init_Motion_Search_Module"
"FreeBench","default","neural","neural.c","307","generateT"
"libraries","default","silk","SKP_Silk_PLC.c","120","SKP_Silk_PLC_update"
"Kernels","SERIAL","Branch","func.c","21108","func32"
"machinelearning","default","darknet","go.c","636","test_go"
"spec2000","v1.3","171.swim","swim.c","459","calc1"
"mediabench","default","h264dec-lencod","mv-search.c","1000","FastFullPelBlockMotionSearch"
"GitApps","default","gap","vec8bit.c","4551","ProdCoeffsVec8Bit"
"TSVC","default","default","tsc.c","3194","s1281"
"spec2006","v1.1","482.sphinx3","feat.c","614","feat_1s_c_d_dd_cep2feat"
"spec2006","v1.1","445.gobmk","optics.c","528","false_margin"
"Kernels","SERIAL","Branch","func.c","5682","func3"
"spec2006","v1.1","464.h264ref","macroblock.c","2155","ZeroRef"
"cortexsuite","default","srr","SRREngine.c","88","GaussSeidel"
"spec2000","v1.3","175.vpr","read_arch.c","1195","check_arch"
"polybench","4.1","medley-nussinov","nussinov.c","38","init_array"
"mediabench","default","h264dec-lencod","rdopt.c","3495","assign_enc_picture_params"
"libraries","default","libdeep","lodepng.c","661","HuffmanTree_makeFromLengths"
"NPB","2.3-OpenACC-C","UA-SNU","setup.c","124","coef"
"FreeBench","default","pifft","pifft.c","992","mp_mul_csqu"
"spec2006","v1.1","482.sphinx3","cont_mgau.c","604","mgau_eval"
"libraries","default","twolame","psycho_1.c","202","psycho_1_hann_fft_pickmax"
"NPB","2.3-OpenACC-C","SP","sp.c","264","rhs_norm"
"spec2000","v1.3","186.crafty","init.c","917","InitializeMasks"
"NPB","2.3-OpenACC-C","SP","sp.c","1398","compute_rhs"
"spec2006","v1.1","470.lbm","lbm.c","186","LBM_performStreamCollide"
"FreeBench","default","pifft","pifft.c","1037","mp_mul_d2i"
"spec2000","v1.3","255.vortex","draw7.c","361","Draw7"
"spec2000","v1.3","300.twolf","config1.c","87","config1"
"spec2006","v1.1","435.gromacs","clincs.c","144","clincs"
"NPB","2.3-OpenACC-C","BT","bt.c","2730","x_solve_cell"
"NPB","2.3-OpenACC-C","SP","sp.c","2835","z_solve"
"polybench","4.1","linear-algebra-blas-trmm","trmm.c","87","kernel_trmm"
"libraries","default","silk","SKP_Silk_solve_LS_FIX.c","160","SKP_Silk_LDL_factorize_FIX"
"libraries","default","daala","pvq.c","287","od_adapt_pvq_ctx_reset"
"mediabench","default","mpeg4dec","parser.c","124","av_parser_parse"
"NPB","2.3-OpenACC-C","UA-SNU","diffuse.c","63","diffusion"
"libraries","default","libpng","pngrtran.c","3957","png_do_gamma"
"libraries","default","silk","SKP_Silk_LPC_inv_pred_gain.c","126","SKP_Silk_LPC_inverse_pred_gain"
"libraries","default","twolame","psycho_4.c","451","psycho_4"
"spec2006","v1.1","433.milc","gauge_stuff.c","141","char_num"
"libraries","default","lame","quantize_pvt.c","473","on_pe"
"mediabench","default","mpeg4dec","parser.c","260","ff_combine_frame"
"GitApps","default","gap","read.c","153","GlobalComesFromEnclosingForLoop"
"NPB","2.3-OpenACC-C","UA-SNU","setup.c","100","coef"
"TSVC","default","default","tsc.c","185","check"
"FreeBench","default","pifft","fftsg.c","823","bitrv2"
"netlib","default","whetstone","whetstone.c","248","main"
"spec2006","v1.1","445.gobmk","aftermath.c","934","play_aftermath"
"mediabench","default","h264enc-lencod","mv-search.c","281","SetupLargerBlocks"
"libraries","default","flac","lpc.c","1242","FLAC_lpc_restore_signal_wide"
"mediabench","default","jpg2000dec","jas_cm.c","896","jas_cmshapmatlut_set"
"GitApps","default","mozjpeg","jccolor.c","209","rgb_ycc_start"
"livermore","default","livermore","lloops.c","1470","kernels"
"mediabench","default","mpeg4dec","ac3enc.c","585","encode_exp"
"GitApps","default","gap","opers.c","613","FuncSUB_FLAGS"
"libraries","default","libdeep","lodepng.c","2506","lodepng_chunk_create"
"NPB","2.3-OpenACC-C","CG","cg.c","535","conj_grad"
"TSVC","default","default","tsc.c","3566","s315"
"spec2006","v1.1","400.perlbench","pp_ctl.c","295","Perl_rxres_save"
"mediabench","default","h264enc-ldecod","block.c","689","intrapred_chroma"
"libraries","default","daala","state.c","1084","od_img_plane_edge_ext"
"GitApps","default","gap","trans.c","2854","EqPermTrans22"
"mediabench","default","h264dec-lencod","mv-search.c","156","InitializeFastFullIntegerSearch"
"mediabench","default","mpeg4enc","imgconvert.c","1307","grow21_line"
"TSVC","default","default","tsc.c","2046","s232"
"libraries","default","twolame","psycho_4.c","253","psycho_4_init"
"spec2000","v1.3","300.twolf","readblck.c","70","readblck"
"mediabench","default","h264enc-ldecod","transform8x8.c","874","LowPassForIntra8x8Pred"
"spec2000","v1.3","171.swim","swim.c","499","calc2"
"libraries","default","silk","SKP_Silk_pitch_analysis_core.c","260","SKP_Silk_pitch_analysis_core"
"mediabench","default","h264dec-lencod","image.c","2263","PaddAutoCropBorders"
"spec2006","v1.1","435.gromacs","calcvir.c","88","lo_fcv"
"livermore","default","livermore","lloops.c","1591","endloop"
"mediabench","default","mpeg4dec","parser.c","227","ff_combine_frame"
"TSVC","default","default","tsc.c","1962","s1221"
"NPB","2.3-OpenACC-C","UA-SNU","mason.c","1623","edgecopy_s"
"spec2006","v1.1","435.gromacs","force.c","993","force"
"mediabench","default","mpeg4dec","h263.c","3027","ff_h263_decode_mba"
"GitApps","default","gap","vecffe.c","759","FuncAddRowVectorVecFFEsMult"
"spec2006","v1.1","458.sjeng","moves.c","379","check_legal"
"spec2006","v1.1","401.bzip2","compress.c","379","sendMTFValues"
"Kernels","SERIAL","Synch_p2p","p2p.c","116","main"
"FreeBench","default","pcompress2","unarithmetic.c","212","update_model"
"spec2006","v1.1","435.gromacs","mshift.c","255","mk_graph"
"netlib","default","linpack","newlinpack.c","185","matgen"
"spec2000","v1.3","186.crafty","init.c","230","InitializeAttackBoards"
"libraries","default","libsndfile","xi.c","1058","i2dsc_array"
"libraries","default","libogg","framing.c","863","ogg_stream_pagein"
"TSVC","default","default","tsc.c","3789","s13110"
"ALPBench","v1.0","MPGenc","predict.c","528","pred_comp"
"mediabench","default","rasta","fvecsubs.c","101","alloc_fmat"
"spec2000","v1.3","256.bzip2","bzip2.c","2168","sortIt"
"FreeBench","default","fourinarow","fourinarow.c","304","find_winner_c"
"spec2006","v1.1","445.gobmk","combination.c","555","get_aa_status"
"libraries","default","libogg","framing.c","460","ogg_stream_flush_i"
"Kernels","SERIAL","Branch","func.c","18674","func11"
"libraries","default","libsndfile","alac.c","479","alac_read_s"
"mediabench","default","mpeg4dec","mjpeg.c","541","escape_FF"
"GitApps","default","gap","trans.c","810","FuncIMAGE_SET_TRANS_INT"
"NPB","2.3-OpenACC-C","BT","bt.c","1485","lhsz"
"TSVC","default","default","tsc.c","127","set2d"
"spec2000","v1.3","301.apsi","apsi.c","2453","dcdtz"
"libraries","default","daala","state.c","562","od_adapt_ctx_reset"
"libraries","default","lame","util.c","966","init_log_table"
"spec2000","v1.3","254.gap","integer.c","285","SumInt"
"libraries","default","silk","SKP_Silk_A2NLSF.c","107","SKP_Silk_A2NLSF_init"
"GitApps","default","gap","permutat.c","2298","CommPerm22"
"spec2000","v1.3","254.gap","permutat.c","186","EvMakeperm"
"NPB","2.3-OpenACC-C","UA-SNU","convect.c","80","convect"
"mediabench","default","gsm","long_term.c","602","Gsm_Long_Term_Synthesis_Filtering"
"mediabench","default","mpeg4dec","ac3enc.c","265","ac3_parametric_bit_allocation"
"libraries","default","daala","pvq_encoder.c","129","pvq_search_rdo_double"
"spec2006","v1.1","464.h264ref","rdopt.c","1863","RDCost_for_macroblocks"
"libraries","default","libdeep","deeplearn_conv.c","209","conv_update_history"
"GitApps","default","gap","system.c","857","SyMsgsBags"
"TSVC","default","default","tsc.c","108","set1ds"
"NPB","2.3-OpenACC-C","UA-SNU","precond.c","573","pc_corner"
"spec2006","v1.1","445.gobmk","readconnect.c","767","find_connection_moves"
"mediabench","default","mpeg4dec","mpegaudiodec.c","361","decode_init"
"mediabench","default","mpeg4dec","mpegaudiodec.c","435","decode_init"
"NPB","2.3-OpenACC-C","UA-SNU","mason.c","1719","mor_s_e"
"spec2006","v1.1","445.gobmk","dragon.c","1968","compute_surrounding_moyo_sizes"
"libraries","default","libdeep","lodepng.c","5516","getPaletteTranslucency"
"libraries","default","lame","encoder.c","432","lame_encode_mp3_frame"
"ALPBench","v1.0","csuFaceIdEval_5.1","csuEBGMUtil.c","89","computePolar"
"mediabench","default","mpeg4dec","imgconvert.c","1166","shrink21"
"spec2000","v1.3","301.apsi","apsi.c","8345","rffti1"
"spec2006","v1.1","401.bzip2","compress.c","368","sendMTFValues"
"mediabench","default","h264enc-ldecod","macroblock.c","2164","readMotionInfoFromNAL"
"GitApps","default","mozjpeg","jchuff.c","983","jpeg_gen_optimal_table"
"spec2000","v1.3","186.crafty","init.c","416","InitializeAttackBoards"
"mediabench","default","mpeg4dec","h263.c","3026","ff_h263_decode_mba"
"GitApps","default","gap","pperm.c","90","INIT_PPERM2"
"spec2000","v1.3","175.vpr","read_arch.c","201","read_arch"
"NPB","2.3-OpenACC-C","BT","bt.c","528","exact_rhs"
"mediabench","default","mpeg4enc","jrevdct.c","563","j_rev_dct"
"libraries","default","libsndfile","vox_adpcm.c","253","vox_read_d"
"spec2006","v1.1","445.gobmk","optics.c","519","false_margin"
"NPB","2.3-OpenACC-C","UA-SNU","mason.c","2172","mor_ne"
"spec2006","v1.1","456.hmmer","vectorops.c","56","FScale"
"NPB","2.3-OpenACC-C","UA-SNU","utils.c","170","add2"
"mediabench","default","mpeg4enc","ac3enc.c","604","encode_exp"
"spec2006","v1.1","400.perlbench","util.c","313","Perl_ninstr"
"libraries","default","silk","SKP_Silk_regularize_correlations_FIX.c","39","SKP_Silk_regularize_correlations_FIX"
"mediabench","default","h264enc-lencod","mv-search.c","769","Init_Motion_Search_Module"
"livermore","default","livermore","lloops.c","1582","endloop"
"ALPBench","v1.0","MPGenc","motion.c","2000","dist2"
"livermore","default","livermore","lloops.c","820","kernels"
"GitApps","default","gap","cyclotom.c","2257","InitLibrary"
"Kernels","SERIAL","Branch","func.c","8114","func24"
"mediabench","default","mpeg4dec","mjpeg.c","553","escape_FF"
"libraries","default","silk","SKP_Silk_find_LTP_FIX.c","226","SKP_Silk_find_LTP_FIX"
"spec2006","v1.1","435.gromacs","init_sh.c","74","init_shells"
"NPB","2.3-OpenACC-C","SP","sp.c","2210","verify"
"FreeBench","default","fourinarow","fourinarow.c","427","think"
"spec2000","v1.3","300.twolf","qsortgdx.c","49","qsortgdx"
"spec2006","v1.1","464.h264ref","rdopt.c","869","Mode_Decision_for_4x4IntraBlocks"
"spec2000","v1.3","301.apsi","apsi.c","10133","radfg"
"NPB","2.3-OpenACC-C","SP","sp.c","700","initialize"
"cortexsuite","default","cnn","MNistDoc.c","683","CalculateHessian"
"libraries","default","silk","SKP_Silk_inner_prod_aligned.c","65","SKP_Silk_inner_prod16_aligned_64"
"libraries","default","daala","laplace_decoder.c","128","laplace_decode_special"
"libraries","default","libpng","pngrtran.c","2540","png_do_read_swap_alpha"
"mediabench","default","h264dec-lencod","rdopt.c","1463","SetModesAndRefframeForBlocks"
"NPB","2.3-OpenACC-C","MG","mg.c","1223","zero3"
"spec2006","v1.1","464.h264ref","rdopt.c","882","Mode_Decision_for_4x4IntraBlocks"
